○政府参考人（大泉淳一）：-0.1241 ヒット率：26.69
○石田国務大臣：-0.084 ヒット率：23.51
○田嶋委員：-0.1021 ヒット率：21.94
○古賀大臣政務官：-0.0916 ヒット率：18.33
○岡田（直）参議院議員：-0.1579 ヒット率：37.17
○磯崎参議院議員：-0.1572 ヒット率：29.86
○浅田均：-0.1242 ヒット率：25.55
○岡田直樹：-0.1556 ヒット率：36.88
○石川博崇：-0.1094 ヒット率：24.82
○委員以外の議員（藤末健三）：-0.1286 ヒット率：28.43
○野田国務大臣：-0.1327 ヒット率：27.88
○牧山ひろえ：-0.093 ヒット率：24.92
○梶山国務大臣：-0.1593 ヒット率：30.56
○中西健治：-0.12 ヒット率：26.17
○櫻井充：-0.1125 ヒット率：21.23
○政府参考人（小野瀬厚）：-0.1291 ヒット率：31.28
○国務大臣（上川陽子）：-0.1469 ヒット率：30.69
○上川国務大臣：-0.126 ヒット率：25.6
○小野瀬政府参考人：-0.1321 ヒット率：28.63
○大泉政府参考人：-0.1125 ヒット率：28.55
○東徹：-0.1251 ヒット率：22.22
○国務大臣（野田聖子）：-0.167 ヒット率：32.04
○国務大臣（高市早苗）：-0.1299 ヒット率：32.41
○竹本直一：-0.1583 ヒット率：32.88
○藤原委員：-0.1012 ヒット率：21.66
○椎木委員：-0.1159 ヒット率：25.0
○高市国務大臣：-0.1444 ヒット率：30.64
○古賀委員：-0.1412 ヒット率：26.08
○落合委員：-0.1256 ヒット率：23.57
○永井参考人：-0.1629 ヒット率：33.39
○北側委員：-0.1763 ヒット率：36.75
○角田分科員：-0.154 ヒット率：29.0
○宮崎（政）委員：-0.1329 ヒット率：23.24
○福島みずほ：-0.1101 ヒット率：22.51
○伊藤孝恵：-0.1468 ヒット率：26.47
○近藤（昭）委員：-0.1546 ヒット率：24.74
○清水貴之：-0.1293 ヒット率：29.45
○山本委員長：-0.2281 ヒット率：36.84
○江田憲司：-0.1262 ヒット率：27.76
○山崎力：-0.1303 ヒット率：31.75
○吉良よし子：-0.1545 ヒット率：30.08
○衆議院議員（逢坂誠二）：-0.137 ヒット率：35.14
○足立信也：-0.1186 ヒット率：22.37
○若狭委員：-0.0919 ヒット率：16.78
○塩川委員：-0.1721 ヒット率：32.77
○山本公一：-0.1742 ヒット率：34.27
○黒岩委員：-0.1611 ヒット率：36.07
○初鹿委員：-0.1263 ヒット率：24.23
○政府参考人（宮地毅）：-0.1143 ヒット率：28.68
○政府参考人（藤原章夫）：-0.1339 ヒット率：29.75
○伯井政府参考人：-0.134 ヒット率：29.59
○大平委員：-0.1197 ヒット率：25.09
○磯崎仁彦：-0.1144 ヒット率：29.35
○愛知治郎：-0.1301 ヒット率：34.84
○鶴保参議院議員：-0.1439 ヒット率：33.76
○中野参議院議員：-0.1188 ヒット率：24.42
○片山虎之助：-0.1436 ヒット率：32.75
○中野正志：-0.138 ヒット率：32.48
○鶴保庸介：-0.1473 ヒット率：35.51
○佐々木さやか：-0.098 ヒット率：24.05
○政府参考人（時澤忠）：-0.1241 ヒット率：27.85
○衆議院議員（船田元）：-0.079 ヒット率：21.0
○参考人（桐谷次郎）：-0.1424 ヒット率：30.3
○船田議員：-0.1187 ヒット率：24.5
○北側議員：-0.1311 ヒット率：24.94
○稲山政府参考人：-0.1346 ヒット率：24.87
○船田委員：-0.1498 ヒット率：27.47
○松田公太：-0.0965 ヒット率：18.79
○福田（昭）委員：-0.1568 ヒット率：25.81
○中野委員：-0.1056 ヒット率：22.72
○政府参考人（稲山博司）：-0.1213 ヒット率：24.04
○保岡委員：-0.1639 ヒット率：28.88
○南部参考人：-0.128 ヒット率：20.36
○参考人（久保厚子）：-0.1233 ヒット率：25.34
○行田邦子：-0.115 ヒット率：26.27
○篠原委員：-0.1299 ヒット率：23.89
○谷合正明：-0.1286 ヒット率：27.66
○保岡興治：-0.1512 ヒット率：34.72
○新藤国務大臣：-0.1266 ヒット率：30.42
○篠原分科員：-0.1115 ヒット率：22.0
○米田政府参考人：-0.1056 ヒット率：23.44
○井出委員：-0.1576 ヒット率：27.71
○安倍内閣総理大臣：-0.1148 ヒット率：26.76
○内閣総理大臣（安倍晋三）：-0.1135 ヒット率：28.11
○中根（康）委員：-0.1228 ヒット率：23.28
○一川保夫：-0.1261 ヒット率：26.71
○森ゆうこ：-0.1138 ヒット率：20.93
○副大臣（黄川田徹）：-0.1068 ヒット率：25.32
○参考人（船田元）：-0.1079 ヒット率：23.05
○岡田広：-0.121 ヒット率：24.9
○赤澤委員：-0.0988 ヒット率：24.53
○棚橋委員：-0.1279 ヒット率：25.37
○高市委員：-0.1505 ヒット率：29.59
