○森ゆうこ：-0.1221 ヒット率：24.42
○委員長（堂故茂）：-0.1661 ヒット率：34.62
○小川勝也：-0.1266 ヒット率：24.69
○徳永エリ：-0.1335 ヒット率：27.21
○紙智子：-0.1079 ヒット率：21.68
○大野泰正：-0.0976 ヒット率：28.2
○参考人（岸宏）：-0.1427 ヒット率：30.55
○参考人（赤間廣志）：-0.1477 ヒット率：29.04
○山田俊男：-0.1228 ヒット率：26.66
○鉢呂吉雄：-0.1378 ヒット率：25.87
○藤田幸久：-0.142 ヒット率：25.2
○政府参考人（長谷成人）：-0.1336 ヒット率：32.81
○儀間光男：-0.1336 ヒット率：26.16
○初鹿明博：-0.1524 ヒット率：30.49
○藤井委員：-0.1331 ヒット率：30.21
○長谷政府参考人：-0.1235 ヒット率：30.66
○小熊委員：-0.0727 ヒット率：20.69
○国務大臣（吉川貴盛）：-0.1409 ヒット率：33.02
○平野達男：-0.1375 ヒット率：26.26
○進藤金日子：-0.1407 ヒット率：28.39
○里見隆治：-0.1601 ヒット率：30.1
○副大臣（高鳥修一）：-0.1157 ヒット率：28.74
○委員長（末松信介）：-0.1536 ヒット率：32.43
○事務総長（郷原悟）：-0.1623 ヒット率：33.73
○舟山康江：-0.1414 ヒット率：24.81
○亀井亜紀子：-0.1412 ヒット率：29.87
○稲津久：-0.1496 ヒット率：34.73
○近藤和也：-0.1304 ヒット率：27.39
○森夏枝：-0.1188 ヒット率：29.53
○金子恵美：-0.1527 ヒット率：32.9
○田村貴昭：-0.1576 ヒット率：33.02
○小熊慎司：-0.1646 ヒット率：33.19
○武藤委員長：-0.1501 ヒット率：34.61
○神谷（裕）委員：-0.1819 ヒット率：34.08
○関（健）委員：-0.1349 ヒット率：27.36
○近藤（和）委員：-0.1272 ヒット率：23.34
○吉川国務大臣：-0.1097 ヒット率：27.97
○森（夏）委員：-0.1361 ヒット率：28.9
○亀井委員：-0.1191 ヒット率：25.02
○緑川委員：-0.1283 ヒット率：26.6
○金子（恵）委員：-0.1494 ヒット率：28.99
○田村（貴）委員：-0.1349 ヒット率：26.7
○大串（博）委員：-0.1256 ヒット率：23.21
○八木参考人：-0.1316 ヒット率：29.93
○佐野参考人：-0.1668 ヒット率：29.78
○加瀬参考人：-0.1542 ヒット率：28.98
○福山委員：-0.0883 ヒット率：26.17
○串田委員：-0.1159 ヒット率：24.82
○古川（康）委員：-0.1011 ヒット率：18.37
○木村（次）委員：-0.1106 ヒット率：24.74
○稲津委員：-0.123 ヒット率：25.44
○細田健一：-0.1452 ヒット率：32.32
○神谷裕：-0.1693 ヒット率：33.35
○緑川貴士：-0.1509 ヒット率：31.81
○丸山委員：-0.1262 ヒット率：20.74
○高市委員長：-0.1798 ヒット率：38.53
○内閣総理大臣（安倍晋三）：-0.1229 ヒット率：29.77
○逢坂委員：-0.1331 ヒット率：24.94
○川田龍平：-0.1053 ヒット率：26.37
○佐々木（隆）委員：-0.0934 ヒット率：19.11
○津村委員：-0.1383 ヒット率：24.65
○衆議院議員（武正公一）：-0.1664 ヒット率：35.82
○山本拓：-0.1824 ヒット率：36.68
○船田議員：-0.1656 ヒット率：35.65
○衆議院議員（江藤拓）：-0.1848 ヒット率：33.86
○江藤委員長：-0.1908 ヒット率：34.76
○高橋（み）委員：-0.1481 ヒット率：27.36
○高橋（千）委員：-0.1279 ヒット率：31.31
○石原洋三郎：-0.1136 ヒット率：29.11
