○初鹿明博：-0.1524 ヒット率：30.49
○串田誠一：-0.1228 ヒット率：28.14
○稲富修二：-0.1699 ヒット率：32.78
○高橋千鶴子：-0.1469 ヒット率：33.29
○もとむら委員：-0.1325 ヒット率：26.5
○宮嵜政府参考人：-0.1295 ヒット率：32.08
○桝屋委員：-0.1076 ヒット率：27.39
○大口副大臣：-0.1297 ヒット率：30.45
○初鹿委員：-0.1231 ヒット率：24.36
○尾辻委員：-0.1304 ヒット率：25.05
○西村（智）委員：-0.1498 ヒット率：30.48
○高橋（千）委員：-0.1324 ヒット率：31.22
○上田政府参考人：-0.1408 ヒット率：31.51
○大西（健）委員：-0.1556 ヒット率：29.05
○菅原委員：-0.1556 ヒット率：40.0
○国務大臣（根本匠）：-0.132 ヒット率：32.3
○政府参考人（宮嵜雅則）：-0.138 ヒット率：31.85
○川合孝典：-0.1013 ヒット率：20.6
○東徹：-0.1198 ヒット率：23.31
○福島みずほ：-0.13 ヒット率：26.23
○石橋通宏：-0.1751 ヒット率：35.84
○川田龍平：-0.139 ヒット率：28.69
○倉林明子：-0.1435 ヒット率：33.84
○大臣政務官（新谷正義）：-0.1437 ヒット率：32.25
○参考人（村井嘉浩）：-0.1313 ヒット率：24.81
○参考人（石井晴夫）：-0.1217 ヒット率：25.58
○参考人（橋本淳司）：-0.1474 ヒット率：29.92
○参考人（二階堂健男）：-0.1497 ヒット率：31.54
○薬師寺みちよ：-0.0873 ヒット率：19.01
○政府参考人（塚原浩一）：-0.1455 ヒット率：32.37
○宮島喜文：-0.1074 ヒット率：24.47
○小川克巳：-0.1207 ヒット率：23.6
○河野義博：-0.1306 ヒット率：27.63
○副大臣（大口善徳）：-0.1655 ヒット率：33.78
○内閣総理大臣（安倍晋三）：-0.1201 ヒット率：31.77
○根本国務大臣：-0.1305 ヒット率：36.88
○青木愛：-0.1361 ヒット率：27.7
○委員長（島村大）：-0.1313 ヒット率：38.98
○宇都宮政府参考人：-0.1593 ヒット率：34.15
○政府参考人（吉永和生）：-0.1547 ヒット率：30.06
○池田（真）委員：-0.1433 ヒット率：27.46
○加藤国務大臣：-0.1388 ヒット率：34.8
○高鳥修一：-0.1595 ヒット率：37.42
○武内則男：-0.1472 ヒット率：30.62
○柚木道義：-0.1516 ヒット率：31.61
○高木副大臣：-0.1439 ヒット率：31.96
○高鳥委員長：-0.1278 ヒット率：35.83
○森山（浩）委員：-0.1078 ヒット率：22.89
○武内委員：-0.1376 ヒット率：26.57
○岡本（充）委員：-0.1599 ヒット率：30.46
○大沼大臣政務官：-0.1265 ヒット率：34.63
○橋本委員：-0.1517 ヒット率：39.25
○吉田委員：-0.1229 ヒット率：27.35
○柚木委員：-0.1092 ヒット率：24.83
○赤澤委員：-0.1162 ヒット率：23.2
○大岡委員：-0.1077 ヒット率：23.64
○中野委員：-0.1228 ヒット率：24.34
○石田（真）委員：-0.1681 ヒット率：38.46
○国務大臣（加藤勝信）：-0.151 ヒット率：37.03
○副大臣（高木美智代）：-0.1494 ヒット率：32.62
○矢田わか子：-0.1215 ヒット率：21.24
○政府参考人（宇都宮啓）：-0.1458 ヒット率：33.24
○田村智子：-0.1522 ヒット率：31.02
○高瀬弘美：-0.1392 ヒット率：27.88
○政府参考人（山田邦博）：-0.1102 ヒット率：28.36
○西田実仁：-0.1461 ヒット率：28.38
○前原委員：-0.1105 ヒット率：21.31
○石崎政府参考人：-0.1099 ヒット率：23.96
○山田政府参考人：-0.1743 ヒット率：35.05
○塩川委員：-0.1269 ヒット率：27.52
○浜地委員：-0.1238 ヒット率：23.54
○青山大人：-0.1463 ヒット率：33.51
○浜地雅一：-0.1575 ヒット率：34.69
○繁本分科員：-0.0881 ヒット率：20.86
○丹羽委員長：-0.1251 ヒット率：40.28
○佐藤委員長：-0.1931 ヒット率：44.67
○高木（毅）委員：-0.1936 ヒット率：47.78
○参考人（福田充）：-0.1835 ヒット率：34.55
○政府参考人（小川秀樹）：-0.1763 ヒット率：31.27
○佐藤（英）委員：-0.153 ヒット率：36.22
○北島政府参考人：-0.1379 ヒット率：31.82
○国務大臣（塩崎恭久）：-0.1166 ヒット率：25.37
○田村（貴）委員：-0.1156 ヒット率：22.88
○馬場大臣政務官：-0.118 ヒット率：37.21
○末松副大臣：-0.1462 ヒット率：36.41
○山本太郎：-0.1363 ヒット率：28.38
○政府参考人（北島智子）：-0.1359 ヒット率：36.09
○政府参考人（森岡泰裕）：-0.1477 ヒット率：33.73
○山本博司：-0.1238 ヒット率：29.81
○政府参考人（橋本泰宏）：-0.095 ヒット率：23.35
